id,state,name,address_line1,address_line2,city,district,pin_code
1,Tamil Nadu,21ST CENTURY INTERNATIONAL SCHOOL TRUST KANJIRANGAL,"Rani Velunachiyar Nagar,",Kanchirangal,Sivagangai,Sivaganga,630562
2,Tamil Nadu,A C T College of Engineering and Technology,BUKKATHURAI - UTHIRAMERUR HIGH ROAD,NELVOY,MADURANTHAGAM TALUK,Kancheepuram,603107
3,Tamil Nadu,A M K TECHNOLOGY POLYTECHNIC COLLEGE CHEMBARAMBAKKAM,"CHENNAI-BANGALORE ROAD,",SEMBARAMBAKKAM - 600 123,CHENNAI,Thiruvallur,600123
4,Tamil Nadu,A R Engineering College,Vadakuchipalayam,Kappiyampuliyur Post,Villupuram,Viluppuram,605601
5,Tamil Nadu,A R J POLYTECHNIC COLLEGE EDAYARNATHAM,THIRUMAKKOTTAI MAIN ROAD,"EDAYARNATHAM,SERANGULAM POST.",MANNARGUDI-614 001,Thiruvarur,614001
6,Tamil Nadu,A R M College of Engineering and Technology,"Sattamangalam, Maraimalai Nagar",Chengalpattu- Tk,Chennai,Kancheepuram,603209
7,Tamil Nadu,A V C C POLYTECHNIC COLLEGE MANNAMPANDAL,MANNAMPANDAL,MAYILADUTHURAI - 609 305,MAYILADUTHURAI,Nagapattinam,609305
8,Tamil Nadu,A V S TEACHER TRAINING INSTITTUTE RAMALINGAPURAM,"Attur Main Road,",Ramalingapuram,Salem,Salem,636106
9,Tamil Nadu,A. D. J. DHARMAMBAL POLYTECHNIC COLLEGE NAGAPATTINAM,KADAMBADI,NAGAPATTINAM,NAGAPATTINAM,Nagapattinam,611001
10,Tamil Nadu,"A.A. Government Arts College, Musiri - 621 201.",Arignar Anna Government Arts College,Musiri - 621 211,Tiruchirappalli,Tiruchirappalli,621211
11,Tamil Nadu,A.C. College of Technology Campus,"Sardar Patel Road, Anna University, Chennai - 600 025.",NA,Chennai,Chennai,600025
12,Tamil Nadu,"A.D.M. College for Women, Nagapattinam - 611 001.","No.1, Cooks Road, Velippalayam, Nagapattinam","N0.1, Cooks Road, Velippalayam, Nagapattinam",Nagapattinam,Nagapattinam,611001
13,Tamil Nadu,A.G. Arts and Science College,"1/294-4,Avinashipalayam Post,South Avinashipalayam Village,",Dharapuram and Koduvai Main Road,Tiruppur,Tiruppur,638660
14,Tamil Nadu,A.G. College of Education,"1-294/3,Avinashipalayam(Po),Koduvai(Via),Tirupur District",NA,Tirupur,Coimbatore,638660
15,Tamil Nadu,A.G. TRUST TEACHER TRAINING INSTITUTE TIRUPUR,"1/294-1,A.G.Trust,Avinashipalayam Post,Dharapuram and Koduvai Mani Road,Tiruppur - 638660",NA,Tiruppur,Tiruppur,638660
16,Tamil Nadu,A.K.C. COLLEGE OF ARTS & SCIENCE,"ANAND NAGAR, KRISHNANKOIL - 626 126",NA,SRIVILLIPUTTUR,Virudhunagar,626126
17,Tamil Nadu,A.K.D. DHARMARAJA COLLEGE FOR WOMEN,THE PRINCIPAL,A.K.D. DHARMARAJA WOMEN'S COLLEGE,RAJAPALAYAM,Virudhunagar,626117
18,Tamil Nadu,A.K.T. Memorial College of Education,A.K.T Nagar,Neelamangalam,Kallakurichi,Viluppuram,606202
19,Tamil Nadu,A.K.T. Memorial College of Engineering & Technology,NEELAMANGALAM,KALLAKURICHI,KALLAKURICHI,Viluppuram,606202
20,Tamil Nadu,A.K.T. MEMORIAL POLYTECHNIC COLLEGE KALLKURICHI,"A.K.T. NAGAR,","NEELAMANGALAM VILLAGE,",KALLAKURICHI,Viluppuram,606202
21,Tamil Nadu,A.M.E.S. College of Education,"Reddythoppu, Ambur - 635802 (Vellore District)",NA,NA,Vellore,635802
22,Tamil Nadu,A.P.A. COLLEGE OF ARTS & CULTURE,DINDIGUL ROAD,DINDIGUL DISTRICT,PALANI,Dharmapuri,624601
23,Tamil Nadu,"A.P.C.Mahalakshmi College, Ettayapuram Road, Tuticorin - 628 002.",ETTAYAPURAM ROAD,THOOTHUKUDI,THOOTHUKUDI,Thoothukkudi,628002
24,Tamil Nadu,"A.R.C. Viswanathan College, Mayiladuthurai, Nagapattinam - 609 003.",Panangattu street,Near Railway Junction,Mayiladuthurai,Nagapattinam,609003
25,Tamil Nadu,A.R.J. College of Engineering and Technology,"Thirumakkottai Main Road , Edayarnatham Village,","Sundarakottai post, Mannargudi TK,",Thiruvarur,Thiruvarur,614001
26,Tamil Nadu,A.R.J. Institute of Management Studies,"Thirumakkottai main road,Edayarnatham village",sundarakottai po,Mannargudi,Thiruvarur,614001
